homeTeam,AwayTeam,hScore,aScore,hExpected,aExpected,resultProb,scoreProb
Empoli,Genoa,2,2,1.666,2.953,16.3,6.0
Spezia,Torino,1,0,0.847,0.722,35.78,17.6
Juventus,Fiorentina,1,0,0.941,0.926,34.32,14.5
Cagliari,Atalanta,1,2,1.056,3.777,85.04,6.0
Venezia,AS Roma,3,2,1.109,2.038,20.1,2.0
Udinese,Sassuolo,3,2,1.411,2.221,23.93,3.1
Sampdoria,Bologna,1,2,2.685,1.553,20.78,4.7
Napoli,Verona,1,1,2.772,0.248,8.86,3.4
Lazio,Salernitana,3,0,4.37,0.999,90.21,6.5
AC Milan,Inter,1,1,2.174,1.118,19.98,9.0
Atalanta,Spezia,5,2,2.864,1.261,70.47,2.1
Lazio,Juventus,0,2,3.232,1.217,10.67,0.9
Fiorentina,AC Milan,4,3,1.831,2.136,33.82,1.4
Salernitana,Sampdoria,0,2,1.175,2.027,57.06,8.4
Bologna,Venezia,0,1,2.563,0.672,7.56,2.6
Sassuolo,Cagliari,2,2,2.062,0.493,17.92,2.0
Inter,Napoli,3,2,0.626,1.357,17.19,0.5
Genoa,AS Roma,0,2,1.715,2.809,60.64,4.3
Torino,Udinese,2,1,2.153,0.825,67.85,9.7
Verona,Empoli,2,1,2.071,2.704,29.82,4.9
Cagliari,Salernitana,1,1,2.267,1.345,19.79,8.2
Venezia,Inter,0,2,1.292,2.485,63.48,7.1
Juventus,Atalanta,0,1,0.833,2.017,64.97,11.7
Sampdoria,Verona,3,1,1.594,2.845,19.69,2.3
Empoli,Fiorentina,2,1,1.007,1.676,22.7,5.8
AS Roma,Torino,1,0,1.018,0.274,54.45,28.0
Spezia,Bologna,0,1,2.05,1.095,19.65,4.7
AC Milan,Sassuolo,1,3,3.01,1.051,10.0,1.0
Udinese,Genoa,0,0,2.199,1.893,20.24,1.7
Napoli,Lazio,4,0,2.811,0.35,87.71,11.0
Verona,Cagliari,0,0,4.468,1.122,6.4,0.4
Salernitana,Juventus,0,2,0.595,2.644,80.93,13.7
Fiorentina,Sampdoria,3,1,2.71,1.723,58.75,6.8
Atalanta,Venezia,4,0,1.97,0.842,63.78,3.8
Sassuolo,Napoli,2,2,0.646,2.194,17.56,2.9
Genoa,AC Milan,0,3,1.253,3.54,79.57,6.1
Inter,Spezia,2,0,7.144,0.981,98.48,0.8
Bologna,AS Roma,1,0,2.047,2.194,37.24,2.9
Torino,Empoli,2,2,1.769,1.396,23.15,6.4
Lazio,Udinese,4,4,2.78,0.947,14.35,0.2
Napoli,Atalanta,2,3,1.273,0.541,15.79,0.3
AS Roma,Inter,0,3,1.055,0.997,33.32,2.1
AC Milan,Salernitana,2,0,2.912,0.752,81.14,10.9
Juventus,Genoa,2,0,1.225,0.993,41.44,8.2
Sampdoria,Lazio,1,3,2.582,1.618,23.19,2.7
Venezia,Verona,3,4,1.725,1.848,41.5,1.2
Spezia,Sassuolo,2,2,1.27,2.086,20.98,6.1
Bologna,Fiorentina,2,3,1.52,0.75,18.43,0.8
Empoli,Udinese,3,1,1.93,2.871,25.1,2.8
Cagliari,Torino,1,1,0.939,0.562,35.7,11.8
Genoa,Sampdoria,1,3,1.1,2.208,62.48,7.2
Udinese,AC Milan,1,1,1.243,2.639,16.86,6.8
Venezia,Juventus,1,1,1.137,2.739,15.68,6.5
Fiorentina,Salernitana,4,0,3.855,0.885,88.09,8.0
Inter,Cagliari,4,0,4.083,0.534,93.68,11.4
Sassuolo,Lazio,2,1,2.019,1.357,52.82,9.5
Napoli,Empoli,0,1,2.055,1.017,17.97,4.7
Verona,Atalanta,1,2,1.486,2.419,58.17,8.8
Torino,Bologna,2,1,2.746,0.918,75.63,8.9
AS Roma,Spezia,2,0,2.595,0.757,76.82,11.8
Salernitana,Inter,0,5,0.371,3.513,92.63,9.2
Lazio,Genoa,3,1,3.39,1.354,76.07,7.7
Cagliari,Udinese,0,4,1.947,1.964,39.85,1.2
Bologna,Juventus,0,2,1.286,1.701,47.18,7.3
Atalanta,AS Roma,1,4,2.107,1.753,32.68,1.7
Fiorentina,Sassuolo,2,2,3.463,1.949,14.49,5.1
Spezia,Empoli,1,1,0.921,1.823,22.7,10.8
AC Milan,Napoli,0,1,1.212,1.502,43.93,10.0
Torino,Verona,1,0,3.14,1.67,66.87,2.6
Sampdoria,Venezia,1,1,1.837,0.912,22.54,10.7
Juventus,Cagliari,2,0,1.849,0.398,72.93,18.1
Genoa,Atalanta,0,0,0.695,3.993,5.9,0.9
Napoli,Spezia,0,1,4.011,0.501,1.62,0.5
Empoli,AC Milan,2,4,1.45,3.808,79.38,4.8
Verona,Fiorentina,1,1,1.937,1.316,22.09,9.9
AS Roma,Sampdoria,1,1,1.57,1.015,25.28,12.0
Inter,Torino,1,0,2.067,0.283,79.94,19.7
Venezia,Lazio,1,3,2.317,1.854,31.41,3.8
Sassuolo,Bologna,0,3,2.002,0.963,17.45,0.8
Juventus,Napoli,1,1,0.715,1.139,31.26,12.8
AC Milan,AS Roma,3,1,1.741,1.374,46.21,5.4
Sassuolo,Genoa,1,1,1.766,1.249,23.37,10.8
Spezia,Verona,1,2,1.611,1.695,40.28,8.5
Lazio,Empoli,3,3,2.277,1.903,19.92,3.5
Sampdoria,Cagliari,1,2,2.3,0.857,12.4,3.6
Venezia,AC Milan,0,3,1.393,3.949,81.71,4.9
